title;duration;certificate;genre;rating;directors;stars
Verdad o reto;100 min;16;Horror, Thriller;5.1;Jeff Wadlow;Lucy Hale, Tyler Posey, Violett Beane, Hayden Szeto
Hell Fest;89 min;16;Horror;5.8;Gregory Plotkin;Bex Taylor-Klaus, Reign Edwards, Tony Todd, Amy Forsyth
Zero;NA;NA;Drama, Romance, Sci-Fi;NA;Aanand L. Rai;Shah Rukh Khan, Katrina Kaif, Salman Khan, Anushka Sharma
The Dark;95 min;NA;Horror;5.8;Justin P. Lange;Nadia Alexander, Toby Nichols, Karl Markovics, Sarah Murphy-Dyson
Destroyer;123 min;R;Action, Crime, Drama;6.8;Karyn Kusama;Nicole Kidman, Toby Kebbell, Tatiana Maslany, Sebastian Stan
Verano del 84;105 min;NA;Drama, Horror, Mystery;6.7;François Simard, Anouk Whissell, Yoann-Karl Whissell;Graham Verchere, Judah Lewis, Caleb Emery, Cory Gruter-Andrew
Climax;95 min;18;Drama, Horror, Music;7.7;Gaspar Noé;Sofia Boutella, Romain Guillermic, Souheila Yacoub, Kiddy Smile
Eighth Grade;93 min;R;Comedy, Drama;7.6;Bo Burnham;Elsie Fisher, Josh Hamilton, Emily Robinson, Jake Ryan
Girl;109 min;16;Drama;7.5;Lukas Dhont;Victor Polster, Arieh Worthalter, Oliver Bodart, Tijmen Govaerts
Cincuenta sombras liberadas;105 min;16;Drama, Romance, Thriller;4.5;James Foley;Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford
Monster Party;89 min;NA;Horror, Mystery, Thriller;4.9;Chris von Hoffmann;Julian McMahon, Robin Tunney, Sam Strike, Virginia Gardner
Proyecto Rampage;107 min;12;Action, Adventure, Sci-Fi;6.2;Brad Peyton;Dwayne Johnson, Naomie Harris, Malin Akerman, Jeffrey Dean Morgan
La sociedad literaria y el pastel de piel de patata;124 min;7;Drama, History, Romance;7.4;Mike Newell;Jessica Brown Findlay, Tom Courtenay, Michiel Huisman, Katherine Parkinson
La sombra de la ley;126 min;16;Thriller;6.4;Dani de la Torre;Luis Tosar, Michelle Jenner, Vicente Romero, Manolo Solo
Un pliegue en el tiempo;109 min;7;Adventure, Family, Fantasy;4.2;Ava DuVernay;Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling
Replicas;107 min;PG-13;Crime, Mystery, Sci-Fi;6.0;Jeffrey Nachmanoff;Alice Eve, Keanu Reeves, Emily Alyn Lind, Thomas Middleditch
Holmes & Watson;NA;NA;Adventure, Comedy, Crime;NA;Etan Cohen;Will Ferrell, John C. Reilly, Ralph Fiennes, Rebecca Hall
El pasajero;105 min;12;Action, Crime, Drama;6.3;Jaume Collet-Serra;Liam Neeson, Vera Farmiga, Patrick Wilson, Jonathan Banks
Tomb Raider;118 min;12;Action, Adventure, Fantasy;6.4;Roar Uthaug;Alicia Vikander, Dominic West, Walton Goggins, Daniel Wu
A la deriva;96 min;13;Action, Adventure, Biography;6.6;Baltasar Kormákur;Shailene Woodley, Sam Claflin, Jeffrey Thomas, Elizabeth Hawthorne
Colette;111 min;12;Biography, Drama, History;7.0;Wash Westmoreland;Keira Knightley, Eleanor Tomlinson, Dominic West, Fiona Shaw
Sierra Burgess es una perdedora;105 min;7;Comedy, Drama, Romance;6.1;Ian Samuels;Shannon Purser, Kristine Froseth, RJ Cyler, Noah Centineo
Uncle Drew;103 min;PG-13;Comedy, Sport;5.7;Charles Stone III;Kyrie Irving, Lil Rel Howery, Shaquille O'Neal, Chris Webber
El corredor del laberinto: La cura mortal;143 min;12;Action, Sci-Fi, Thriller;6.3;Wes Ball;Dylan O'Brien, Ki Hong Lee, Kaya Scodelario, Thomas Brodie-Sangster
Un mar de enredos;112 min;7;Comedy, Romance;5.9;Rob Greenberg;Eugenio Derbez, Anna Faris, Eva Longoria, John Hannah
Batman Ninja;85 min;7;Animation, Action;5.7;Junpei Mizusaki;Kôichi Yamadera, Wataru Takagi, Ai Kakuma, Rie Kugimiya
Vida privada;123 min;R;Drama;7.2;Tamara Jenkins;Kathryn Hahn, Paul Giamatti, Kayli Carter, John Carroll Lynch
Illand: La brigada del lobo;139 min;16;Action, Sci-Fi;6.0;Jee-woon Kim;Woo-sung Jung, Hyo-Joo Han, Dong-won Gang, Ye-ri Han
Escape Plan 2: Hades;96 min;R;Action, Thriller;3.8;Steven C. Miller;Sylvester Stallone, Dave Bautista, Xiaoming Huang, Jesse Metcalfe
Eliminado: Dark Web;92 min;R;Horror;5.8;Stephen Susco;Colin Woodell, Stephanie Nogueras, Betty Gabriel, Rebecca Rittenhouse
No te preocupes, no llegará lejos a pie;114 min;12;Biography, Comedy, Drama;6.9;Gus Van Sant;Joaquin Phoenix, Jonah Hill, Rooney Mara, Jack Black
Terminal;95 min;NA;Crime, Drama, Thriller;5.3;Vaughn Stein;Margot Robbie, Simon Pegg, Dexter Fletcher, Mike Myers
Look Away;103 min;NA;Thriller;6.4;Assaf Bernstein;India Eisley, Jason Isaacs, Mira Sorvino, Penelope Mitchell
Insidious: La última llave;103 min;16;Horror, Mystery, Thriller;5.7;Adam Robitel;Lin Shaye, Leigh Whannell, Angus Sampson, Kirk Acevedo
Solis;92 min;NA;Action, Adventure, Sci-Fi;4.1;Carl Strathie;Steven Ogg, Alice Lowe, Kate Coogan, Henry Douthwaite
¡Qué guapa soy!;110 min;7;Comedy;5.3;Abby Kohn, Marc Silverstein;Amy Schumer, Michelle Williams, Emily Ratajkowski, Tom Hopper
Badhaai Ho;124 min;NA;Comedy, Drama;8.3;Amit Ravindernath Sharma;Ayushmann Khurrana, Sanya Malhotra, Neena Gupta, Gajraj Rao
Gräns;110 min;R;Fantasy, Romance, Thriller;7.2;Ali Abbasi;Eva Melander, Eero Milonoff, Jörgen Thorsson, Ann Petrén
Isla de perros;101 min;A;Animation, Adventure, Comedy;8.0;Wes Anderson;Bryan Cranston, Koyu Rankin, Edward Norton, Bob Balaban
Killer Kate!;80 min;NA;Comedy, Horror, Thriller;3.5;Elliot Feld;Alexandra Feld, Danielle Burgess, Amaris Davidson, Abby Eiland
Con amor, Simon;110 min;16;Comedy, Drama, Romance;7.7;Greg Berlanti;Nick Robinson, Jennifer Garner, Josh Duhamel, Katherine Langford
Her Boyfriend's Secret;NA;NA;Thriller;5.3;Lisa France;Kelly Sullivan, Maiara Walsh, Mark Famiglietti, Jordan James Smith
12 valientes;130 min;16;Action, Drama, History;6.6;Nicolai Fuglsig;Chris Hemsworth, Michael Shannon, Michael Peña, Navid Negahban
Lo que esconde Silver Lake;139 min;R;Comedy, Crime, Drama;6.8;David Robert Mitchell;Andrew Garfield, Riley Keough, Topher Grace, Callie Hernandez
Peterloo;154 min;PG-13;Drama, History;6.5;Mike Leigh;Rory Kinnear, Maxine Peake, Neil Bell, Philip Jackson
Bienvenidos a Marwen;NA;PG-13;Biography, Comedy, Drama;NA;Robert Zemeckis;Gwendoline Christie, Steve Carell, Eiza González, Diane Kruger
Destination Wedding;90 min;R;Comedy, Drama, Romance;6.0;Victor Levin;Winona Ryder, Keanu Reeves, Dj Dallenbach, Ted Dubost
Tumbbad;104 min;NA;Drama, Horror, Thriller;8.9;Rahi Anil Barve, Anand Gandhi, Adesh Prasad;Cameron Anderson, Ronjini Chakraborty, Deepak Damle, Anita Date
El club de los jóvenes multimillonarios;108 min;16;Biography, Drama, Thriller;5.6;James Cox;Ansel Elgort, Kevin Spacey, Taron Egerton, Emma Roberts
Reprisal;89 min;R;Action, Crime, Thriller;4.2;Brian A. Miller;Bruce Willis, Frank Grillo, Johnathon Schaech, Olivia Culpo
La balada de Buster Scruggs;132 min;16;Comedy, Drama, Musical;6.6;Ethan Coen, Joel Coen;Liam Neeson, James Franco, Zoe Kazan, David Krumholtz
Los extraños: Cacería nocturna;85 min;18;Horror;5.2;Johannes Roberts;Christina Hendricks, Martin Henderson, Bailee Madison, Lewis Pullman
Been So Long;100 min;NA;Drama, Musical, Romance;5.1;Tinge Krishnan;Michaela Coel, Mya Lewis, Arinzé Kene, George MacKay
Serenity;106 min;R;Drama, Thriller;NA;Steven Knight;Diane Lane, Anne Hathaway, Matthew McConaughey, Jason Clarke
Siberia;104 min;16;Crime, Romance, Thriller;4.3;Matthew Ross;Keanu Reeves, Boris Gulyarin, Ashley St. George, Elliot Lazar
#SexPact;102 min;16;Comedy;6.2;Kay Cannon;Leslie Mann, John Cena, Ike Barinholtz, Kathryn Newton
Don't Go;91 min;NA;Mystery;5.1;David Gleeson;Stephen Dorff, Melissa George, Simon Delaney, Aoibhinn McGinnity
An Evening with Beverly Luff Linn;108 min;R;Comedy, Crime;5.4;Jim Hosking;Aubrey Plaza, Jemaine Clement, Emile Hirsch, Matt Berry
